ID,IMAGE_URL,NAME,SKU,CATEGORY,COLOR,SIZE,WEIGHT,DESCRIPTION,PRICE,BRAND
P_110052586,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Kadink Washable Bright Poster Paint 250mL Dark Green,110052586,Paint,,,0.375,"This Kadink Washable Bright  Poster Paint is a washable option making it perfect for a wide range of environments. The bright colours and thick consistency allows you to create eye-catching artwork that stands out on paper. As part of Kadink's strong commitment to safety and quality, a full-time chemist tests every batch and keeps samples on record for two years.  Features Kadink Paint is made in Australia.It is recommended for ages 3 and up.To ensure safety and quality, each batch is tested by a full-time chemist and samples are kept on record for 2 years.The paint is thick and fast drying so you can worry less about spills.You can mix this paint with other Kadink Acrylic Poster Paints.This bottle comes with dark green coloured paint.Washing instructions: This paint is water based making it easy to wash. For best results to remove stains, soak garments immediately. Wash using mild detergent in warm water. Do not rub or wring. Rinse thoroughly. Use of stain removers may make paint remo",,Kadink
P_110052826,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Porcelaine 150 Paint 45ml Emerald,110052826,Paint,,,0.375,"Decorate Porcelaine, earthenware and ceramics without the need for a kiln with this Pebeo Porcelaine 150 Paint. You can use paint brush, sponge or stencil to apply different techniques, then dry your creation and simply bake for 30 minutes in your oven for stunning results. This paint is only to be used for decorative purposes and is not intended for use on food surfaces.  Features Once dry the paint colour is permanent, microwave and dishwasher safe.You can use this water-based paint on Porcelaine, earthenware and ceramic surfaces.It's best if you allow your piece to dry for at least 24 hours before baking.This paint is only to be used for decorative purposes and is not intended for use on food surfaces.It's non-toxic, for your peace of mind.The paint will appear like glazed enamel when placed initially in a cold oven till the temperature reaches 150°C, then baked for 30-35 minutes and allow to cool in the oven.This pot contains 45 mL of paint.This pot contains emerald coloured paint.",,Pebeo
P_110052491,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Reeves Intro Acrylic Paint 100mL Raw Umber,110052491,Paint,,,0.375,"Experience the vibrant colour and excellent coverage of Reeves Acrylic Paint. The high quality acrylic resin allows for consistent brush stroke retention and a free flowing application so you can get creative with your own works of art.  Features The paint is water based and has a high pigment saturation for rich and vibrant colour and clean colour mixing.You don't need to add gloss mediums thanks to the high gloss finish.The quick drying paint allows for minimal colour shift from wet to dry and has impressive opacity.It is perfect for a variety of surfaces, such as canvas, paper, wood and fabric.The paint can be used straight from the tube to create impasto effects and it can be diluted with water for watercolour effects.The tube contains 100 mL of paint.This tube contains Raw Umber coloured paint. ",,Reeves
P_110052830,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Chromacryl Student Acrylic Paint 75mL Warm Yellow,110052830,Paint,,,0.375,"Chromacryl Student Acrylic Paints are perfect for art students who are experimenting with paint. These paints have the consistency of professional art paints, allowing you to learn and practise a wide range of techniques and styles.  Features The paint is highly pigmented, resulting in brilliant colours.It has the thick consistency of professional paint, allowing you to practise professional techniques.This paint has a silky appearance when dry.Once dry, this paint is waterproof.This paint has a semi-transparent warm yellow colour.There is 75 mL of paint in this tube. ",,Chromacryl
P_110052105,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Derivan Matisse Flow Paint 75mL Carbon Black S1,110052105,Paint,,,0.375,"Derivan Matisse Flow Formula has a thin viscosity for use with an air brush or simply for free flowing brush strokes. It can be used for fine detailing without water dilution making it ideal for mural work, canvas painting, geometrics, backdrops and more.  Features The colours are highly pigmented for vibrant works of art.It's compatible for use with Matisse Artists mediums so you can experiment with new techniques.It has a lightfastness rating of ASTM I or II and is archival quality so your artworks will last.This paint can be used for fine brushwork without water dilution.There is 75 mL of acrylic paint in this tube.This paint is called Carbon Black. ",,Matisse
P_110053361,"https://assets.kmart.com.au/transform/6d96c2c8-fb92-4219-8cfb-2a52cc49cfaf/110053361-1?io=transform:extend,width:580,height:725",Kadink Craft Caddy Blue,110053361,Crafting Objects,,,0.375,"This Kadink Craft Caddy is a great solution for organising and storing your art tools and materials. This sturdy, plastic caddy will help to protect your supplies and features useful compartments for optimum organisation.  Features It can be used to hold and organise art and craft items.It measures 235 x 228 x 128 mm.It is made from durable, sturdy plastic that protects your tools.It features 3 separated wells for optimum organisation.It has a carry handle so you can easily take it on the go.It comes in a vibrant blue colour. ",,Kadink
P_110052161,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Origin Acrylic Paint 120mL Fluorescent Yellow,110052161,Paint,,,0.375,"Pebeo Acrylic Paint is an ideal addition to your art set. It provides rich and vibrant pigments on your page, and gives an eye-catching matt finish to your masterpieces.  Features This is water-based paint.50% of the Pebeo origin range is single pigment, which makes it suited for mixing.The paint is odour free and suitable for vegans.This bottle comes with 120mL of paint.It comes in a Fluorescent Yellow colourway. ",,Pebeo
P_110052129,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Liquitex Professional Ink 30mL Neutral Grey Value 5 Mix Grey,110052129,Paint,,,0.375,"This Liquitex Professional Acrylic Ink boasts an extremely fluid consistency that uses super-fine pigments in a state-of-the-art acrylic emulsion. The paint dries quickly, while the results are permanent and resistant to water. The non-clogging element of the paint makes it ideal for a variety of techniques from watercolour effects to stamping.  Features It has a unique and versatile formula which is made using water-based, fluid acrylics.You can use these inks in conjunction with other Liquitex acrylic products.Each colour is made using super-fine pigments for smooth, even coverage.You can use them with a variety of art techniques including stamping, calligraphy, fabric painting, pouring, airbrushing and more.The inks are fast drying and will be permanent and water resistant once dry.The bottle contains 30 mL of Liquitex Ink.This Liquitex Ink is Neutral Grey Value 5 Mixing Grey colour. ",,Liquitex
P_110053078,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Vitrea 160 Frosted Glass Paint 45mL Cloud,110053078,Paint,,,0.375,"Pebeo Vitrea 160 Glass Paint is water-based and transparent, with excellent lightfastness for stunning results. To make your design resistant to solvents and common detergents, simply place the decorated glass in a cold oven and set the temperature to 160° C, cooking for 40 minutes thereafter. Vitrea 160 Glass paints are available in a variety of vibrant colours, as well as, glossy, shimmer and frosted finishes.  Features The paint is water-based for transparent colour laydown with a frosted finish.The paint has excellent lightfastness and can be diluted using Pebeo's Vitrea 160 Thinner.A light wash dries within approximately 72 hours.It's suitable for use on glass and crystal surfaces and is recommended for decorative purposes only, however, has been proven to not pose a health hazard when used on food surfaces.This paint is non-toxic for your safety.Pebeo's Vitrea 160 paints work best on carefully degreased transparent surfaces.This pot comes with 45 mL of cloud coloured paint for yo",,Pebeo
P_110052362,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Jacquard Pinata Ink 14mL Lime Green,110052362,Paint,,,0.375,"Jacquard Pinata Ink is highly saturated and vibrant and can be used on a range of surfaces including glass, metal, plastic, ceramic, stone, leather, resin, polymer clay and more. It's impervious to water and can be re-wet with alcohol to achieve effects and techniques that can't be achieved with water-based inks.  Features The ink is solvent or alcohol-based making the colour vibrant.The ink is fast drying so you can worry less about smudging.It's suitable for use on various surfaces including stone, leather, acrylic, plastic, metal and more.The ink is acid-free so it won't react with your other supplies.The bottle contains 14 mL.This ink colour is called Lime Green. ",,Jacquard
